Date,AveragePrice,TotalVolume,TotalBags,SmallBags
2015-06-21,1.5,108655.36,54130.44,54130.44
2015-06-14,1.34,149376.79,95473.84,95473.84
2015-06-07,1.38,130908.11,71990.67,71990.67
2015-05-31,1.4,130841.08,75473.15,75473.15
2015-05-24,1.43,121942.61,65785.96,65741.52
2015-05-17,1.35,137050.23,74392.69,73414.91
2015-05-10,1.33,170547.18,95285.89,94832.56
2015-05-03,1.42,136771.79,85477.33,84332.05
2015-04-26,1.41,136964.3,86183.43,85503.15
2015-04-19,1.42,139612.52,85576.8,85056.94
2015-04-12,1.42,118172.53,71752.15,70938.4
2015-04-05,1.44,124145.62,72056.8,71408.88
2015-03-29,1.39,119890.65,70027.47,69919
2015-03-22,1.4,119902.96,71344.15,71288.59
2015-03-15,1.47,103413.11,54157.6,54046.49
2015-03-08,1.35,125724.96,62576.63,62216.63
2015-03-01,1.43,112363.86,69541.74,69479.52
2015-02-22,1.41,109546.92,62312.01,61765.34
2015-02-15,1.44,100207.14,55357.07,55232.63
2015-02-08,1.36,132760.1,64513.81,63918.25
2015-02-01,1.33,153920.35,86919.58,86848.47
2015-01-25,1.5,114052.94,58649.74,57909.74
2015-01-18,1.52,107040.29,43421.89,43419.67
2015-01-11,1.54,106221.32,53514.26,53514.26
2015-01-04,1.4,116253.44,57182.88,57182.88
2015-12-27,0.9,5040365.47,1212707.01,1090140.07
2015-12-20,0.94,4695737.21,1209165.2,1061703.58
2015-12-13,0.87,5259354.3,1592438.33,1404012
2015-12-06,0.78,5775536.27,1510267.34,1376640.91
2015-11-29,0.91,4575710.62,1081497.47,991568.84
2015-11-22,0.92,4804278.16,1069305.91,979612.52
2015-11-15,0.83,5755190.69,1152918.94,1091768.68
2015-11-08,0.98,5148983.51,855636.58,813006.4
2015-11-01,0.95,5830427.96,651915.96,626993.54
2015-10-25,1.12,4592461.81,618031.72,606392.86
2015-10-18,1.07,4999031.79,646990.52,633893.61
2015-10-11,1.08,5063309.38,555041.88,533478.03
2015-10-04,1.02,4943781.29,472090.38,442923.78
2015-09-27,1.04,5216784.63,515245.79,496867.66
2015-09-20,1.14,4759791.13,552209.77,529779.37
2015-09-13,1.13,5106508.12,584419.64,502056.88
2015-09-06,1.09,5806392.78,629688.27,591629.83
2015-08-30,1.08,5647385.15,649475.65,640600.64
2015-08-23,1.18,5193221,545248.81,535183.95
2015-08-16,1.11,5616434.08,577651.8,572197.46
2015-08-09,1.1,6232081.27,580768.97,570728.54
2015-08-02,1.16,5428238.87,566776.08,559587.76
2015-07-26,1.13,5557616.27,598607.54,590750.1
2015-07-19,1.18,5225200.52,601233.56,577736.96
2015-07-12,1.13,5451636.92,622965.78,601358.64
2015-07-05,1.12,6718011.83,762371.42,731692.08
2015-06-28,1.1,5641742.02,654819,630301.44
2015-06-21,1.07,5952597.29,662032.34,634244.68
2015-06-14,0.97,6741662.31,683201.17,657421.42
2015-06-07,0.98,6374842.9,678868.68,651944.51
2015-05-31,0.98,6236903.31,580523.01,554224.64
2015-05-24,1.1,5621713.64,574119.93,546420.69
2015-05-17,1.08,5289138.5,547243.56,525804.7
2015-05-10,0.93,6650357.96,634790.89,613601.09
2015-05-03,0.88,8567534.49,631798.44,609388.58
2015-04-26,1.15,4923565.04,576599.58,548252.41
2015-04-19,1.05,5871080.81,598285.63,524767.96
2015-04-12,1.06,5636644.51,614443.51,532714.02
2015-04-05,1.12,5467155.55,601124.94,539258.29
2015-03-29,1.1,5341821.67,669440.18,605995.11
2015-03-22,1.06,5571812.77,713009.12,681403.86
2015-03-15,1.06,5557163.11,662527.26,632903.55
2015-03-08,0.96,5990243.89,671312.66,642307
2015-03-01,0.84,6700134.25,552070.01,515386.4
2015-02-22,0.96,5951871.32,635318.73,596184.9
2015-02-15,0.96,5699944.93,594411.66,544990.68
2015-02-08,0.91,5871224.58,612526.38,553682.71
2015-02-01,0.85,9032180.67,600149.24,556205.2
2015-01-25,1.06,4929884.26,570609.87,521004.15
2015-01-18,1.02,5570915.26,559990.93,520299.26
2015-01-11,0.92,6024932.34,546047.53,510560.41
2015-01-04,0.93,5777334.9,528451.74,477193.38
2015-12-27,0.96,156698.24,37630.04,35130.42
2015-12-20,0.98,139917.89,35054.76,33273.25
2015-12-13,0.95,157146.19,39031.59,35793.08
2015-12-06,0.99,156114.08,30439.26,28181.92
2015-11-29,0.95,138858.86,30791.41,27376.3
2015-11-22,1,133618.33,25723.09,22228.47
2015-11-15,1.01,169281.16,23632.22,21132.1
2015-11-08,1.03,164322.04,29723.04,28076.04
2015-11-01,1.11,171793.87,37373.73,32848.04
2015-10-25,1.27,140920.61,34587.41,30219.23
2015-10-18,1.26,156565.98,34534.79,31176.68
2015-10-11,1.14,167396.56,39795.83,33103.01
2015-10-04,1.22,146737.74,38050.77,30388.81
2015-09-27,1.09,168780.22,31620.63,27053.27
2015-09-20,1.2,161443.98,47353.43,38940.45
2015-09-13,1.19,171077.53,62868.31,56910.24
2015-09-06,1.01,227728.43,66041.86,59197.7
2015-08-30,1.2,179026.88,65683.65,63371.06
2015-08-23,1.15,203298.37,78864.57,76846.13
2015-08-16,1.24,178525.52,62985.56,60769.22
2015-08-09,1.21,173059.32,61746.27,57783.2
2015-08-02,1.24,179321.9,60699.91,58627.67
2015-07-26,1.23,173896.82,64127.07,62053.65
2015-07-19,1.19,187575.03,65605.47,62470.83
2015-07-12,1.18,182856.82,67851.56,65681.23
2015-07-05,1.18,216118.9,71243.15,67865.26
2015-06-28,1.17,193654.01,69753.61,67989.08
2015-06-21,1.17,201173.1,73048.34,69426
2015-06-14,1.15,207093.88,69824.22,67842.39
2015-06-07,1.15,199980.3,72650.56,69123.57
2015-05-31,1.19,194630.86,61153.08,58990.8
2015-05-24,1.2,212527.72,63676.95,59663.25
2015-05-17,1.21,190799.99,59786.84,57583.99
2015-05-10,1.19,192767.09,63906.65,61759.57
2015-05-03,1,261492.2,64214.79,58626.28
2015-04-26,1.2,182141.55,59902.38,58701.2
2015-04-19,1.18,180944.22,64618.32,63182.05
2015-04-12,1.17,204005.24,65183.51,61787.29
2015-04-05,1.19,177919.28,58148.27,56450.56
2015-03-29,1.23,178788.49,52860.94,51856.01
2015-03-22,1.19,182876.15,59411.65,56443.98
2015-03-15,1.19,183944.05,52470.09,51028.01
2015-03-08,1.25,159386.69,53912.29,52537.96
2015-03-01,1.18,176146.34,55725.59,52873.84
2015-02-22,1.08,201741.43,46972.92,44919.71
2015-02-15,1.22,156798.51,49548.44,40419.97
2015-02-08,1.17,150139.38,51284.33,41921.3
2015-02-01,0.98,254009.7,49070.43,33450.14
2015-01-25,1.18,167270.13,54309.81,41623.4
2015-01-18,1.25,152671.15,47055.08,33996.73
2015-01-11,1.26,159942.68,49435.79,38822.26
2015-01-04,1.19,166006.29,50797.56,44329.03
2015-12-27,0.93,661137.13,94741.09,83066.75
2015-12-20,0.91,690669.34,94063.9,76241.25
2015-12-13,1.07,668601.5,82588.46,76829.42
2015-12-06,1.14,664020.49,62910.83,62473.12
2015-11-29,1.11,602481.22,62161.46,61862.57
2015-11-22,0.94,751897.89,73751.75,73457.31
2015-11-15,1.17,641881.96,74984.77,74723.66
2015-11-08,1.01,711146.61,66166.46,65842.08
2015-11-01,1,807041.46,68869.94,68447.93
2015-10-25,1.12,687650.27,66124.18,65795.24
2015-10-18,1.15,690302.58,63116.01,62076.66
2015-10-11,1.08,708914.17,68648.48,65144.93
2015-10-04,1.18,675172.63,69930.27,66015.29
2015-09-27,1.15,720501.55,70795.02,63370.36
2015-09-20,1.19,729117.42,74891.66,71195.89
2015-09-13,1.19,775671.49,82914.08,78368.45
2015-09-06,1.11,808677.78,86202.35,82905.34
2015-08-30,1.12,773773.53,73918.94,71627.03
2015-08-23,1.2,751850.01,80272.17,77073.51
2015-08-16,1.16,817690.89,83807.06,80018.54
2015-08-09,1.25,731125.01,81788.18,79510.48
2015-08-02,1.27,761027.42,82175.8,79197.97
2015-07-26,1.12,791332.34,88152.13,83728.75
2015-07-19,1.24,797060.27,98743.44,92362.71
2015-07-12,1.26,772151.2,94328.48,90428.86
2015-07-05,1.24,937317.45,129052.84,126579.11
2015-06-28,1.21,786250.22,129786.59,126835.7
2015-06-21,1.24,804902.52,111021.71,107242.86
2015-06-14,1.21,868197.41,119024.61,116318.18
2015-06-07,1.24,824216.23,105212.4,99942.37
2015-05-31,1.26,803571.87,101425.36,99122.66
2015-05-24,1.23,887105.04,104263.68,101615.53
2015-05-17,1.23,817870.17,85534.2,82689.93
2015-05-10,1.23,835938.63,93316.19,88847.94
2015-05-03,1.04,978376.13,93715.67,89297.42
2015-04-26,1.24,779868.01,92705.9,88341.96
2015-04-19,1.24,832529.06,92160.87,89276.61
2015-04-12,1.24,710718.98,94153.9,91664.47
2015-04-05,1.27,751812.42,91422.8,87170.22
2015-03-29,1.22,757271.96,101458.91,97284.77
2015-03-22,1.21,799946.53,90358.9,87394.44
2015-03-15,1.09,827010.39,97254.41,93312.94
2015-03-08,1.18,772997.09,109455.37,107215.4
2015-03-01,1.09,863391.73,90420.46,88092.48
2015-02-22,1.18,773078.09,94439.89,90447.44
2015-02-15,1.17,726401.24,97651.22,92518.95
2015-02-08,1.13,729325.61,82336.09,78980.96
2015-02-01,0.91,1133491.66,93077.9,89516.93
2015-01-25,1.22,745439.17,85220.93,75867.61
2015-01-18,1.14,797741.43,98865.72,95516.44
2015-01-11,1.15,802874.94,79298.64,74716.43
2015-01-04,1.11,783068.03,77539.48,72888.46
2015-12-27,0.87,162993.77,50369.3,14050.64
2015-12-20,0.85,175425.57,56245.76,12118.45
2015-12-13,0.79,207386.27,75464.86,15835.2
2015-12-06,0.83,207513.04,59144,13539.21
2015-11-29,0.88,141356.34,38977.9,12785.15
2015-11-22,0.89,174892.99,47140.21,13804.56
2015-11-15,0.88,193723.22,56845.8,15733.89
2015-11-08,0.87,239070.13,60246.26,12989.82
2015-11-01,0.93,254760.33,71626.45,14831.2
2015-10-25,1.01,203681.71,59603.9,12423.07
2015-10-18,0.98,186044.56,43077.8,17414.57
2015-10-11,0.91,213527.77,50536.17,16191.77
2015-10-04,0.93,235243.88,64105.72,16488.06
2015-09-27,1.08,202012.62,49128.68,12344.28
2015-09-20,1.05,210445.12,47094.76,12353.22
2015-09-13,1.05,216548.9,56180,17271.72
2015-09-06,1.02,232157.91,66632.12,19499.39
2015-08-30,1.01,234132.09,63318.92,17804.54
2015-08-23,1.05,208608.84,58589.27,15961.91
2015-08-16,1.01,234349.47,63557.7,16806.65
2015-08-09,1.08,214374.41,56136.97,19933.89
2015-08-02,1.09,206121.36,51052.19,16179.92
2015-07-26,1.03,216611.18,68917.85,24769.87
2015-07-19,1.06,223479.02,58337.87,21470.67
2015-07-12,1.03,218170.8,61781.42,23225.75
2015-07-05,1.03,250626.33,71706.32,27500.3
2015-06-28,1.01,225165.84,72823.95,34098.54
2015-06-21,1.02,243012.2,65000.04,25431.9
2015-06-14,1.05,229363.51,66485.56,30258.12
2015-06-07,1.07,234981.67,63389.74,23651.85
2015-05-31,1.06,222382.69,63377.28,20976.26
2015-05-24,1.1,222390.09,55604.51,24486.78
2015-05-17,1.04,234579.34,59491.63,18091.92
2015-05-10,1.06,259598.76,73034.51,22506.92
2015-05-03,1.08,238140.96,57176.48,18315.96
2015-04-26,1.06,214469.51,60583.96,21522.31
2015-04-19,1.02,226978.72,60889.38,35196.33
2015-04-12,1.02,188937.83,55624.64,38219.34
2015-04-05,1.06,196168.6,51050.29,36567.48
2015-03-29,0.95,198365.16,70724.27,46587.15
2015-03-22,0.98,212719.94,48822.51,11317.29
2015-03-15,0.94,196008.57,57836.43,19570.41
2015-03-08,0.87,219110.81,64425.57,30834.06
2015-03-01,0.89,226951.64,47259.72,14963.96
2015-02-22,0.93,183072.02,41141.35,18685.14
2015-02-15,0.94,169950.37,39617.86,21356.07
2015-02-08,0.93,186617.2,37258.67,17773.67
2015-02-01,0.86,300905.18,51829.32,15335.37
2015-01-25,0.93,213554.45,46636.08,20650.03
2015-01-18,0.93,175681.09,42403.04,24024.17
2015-01-11,0.92,201392.27,43475.66,17035.73
2015-01-04,0.88,228569.58,55083.44,17525.31
2015-12-27,0.99,107565.04,23071.78,15032.43
2015-12-20,1.03,117393.22,20266.48,11760.83
2015-12-13,1.03,124617.07,20165.81,14642.3
2015-12-06,0.99,137195.59,18819.11,12451.6
2015-11-29,1.03,97235.6,17371.46,12106.21
2015-11-22,1.04,115089.62,18380.41,13855.13
2015-11-15,0.99,117462.94,23023.6,19594.87
2015-11-08,0.95,152084.79,25669.5,14899.79
2015-11-01,0.99,135237.01,21489.11,14668.1
2015-10-25,1.04,119210.27,17089.46,11461.37
2015-10-18,0.98,137773.84,23459.71,18601.8
2015-10-11,0.9,145305.65,23892.68,16946.85
2015-10-04,0.93,134326.53,19254.83,14952.36
2015-09-27,1.02,137298.77,18440.24,10970.85
2015-09-20,1,165068.86,21237.4,12029.73
