,Unnamed: 0,Date,AveragePrice,Total Volume,TotalBags,SmallBags
7333,21,2017-08-06,1.48,382653.13,121794.62,107141.63
7334,22,2017-07-30,1.47,404029.77,127751.3,117153.23
7335,23,2017-07-23,1.47,393360.73,129376.77,117089.39
7336,24,2017-07-16,1.51,381469.09,114626.72,105159.06
7337,25,2017-07-09,1.59,406120.55,135551.27,111684.04
7338,26,2017-07-02,1.68,365488.32,129961.98,93672.73
7339,27,2017-06-25,1.5,422231.87,112210.28,89625.83
7340,28,2017-06-18,1.75,380239.79,118782.11,95067.36
7341,29,2017-06-11,1.73,379927.26,135494.22,101707.26
7342,30,2017-06-04,1.8,394307.04,134250.58,118507.2
7343,31,2017-05-28,1.74,432742.98,158169.27,130634.15
7344,32,2017-05-21,1.75,385075.85,130429.44,118137.44
7345,33,2017-05-14,1.75,387975.97,154260.15,142282.0
7346,34,2017-05-07,1.66,491356.56,198221.41,155183.42
7347,35,2017-04-30,1.78,386907.3,126746.46,119345.98
7348,36,2017-04-23,1.66,363689.09,120980.33,105813.24
7349,37,2017-04-16,1.74,390396.69,137357.41,120676.87
7350,38,2017-04-09,1.7,398600.32,153780.91,143053.85
7351,39,2017-04-02,1.68,385731.38,146101.32,138280.26
7352,40,2017-03-26,1.66,379956.99,133368.89,124540.35
7353,41,2017-03-19,1.66,373158.66,133432.45,119317.04
7354,42,2017-03-12,1.74,377616.35,124527.1,112097.57
7355,43,2017-03-05,1.48,409950.45,135236.4,130174.35
7356,44,2017-02-26,1.49,411014.79,139116.42,122476.97
7357,45,2017-02-19,1.37,369284.51,134059.65,125901.76
7358,46,2017-02-12,1.19,572219.25,228843.43,208810.97
7359,47,2017-02-05,1.28,645655.16,127371.2,111889.17
7360,48,2017-01-29,1.48,421316.65,124991.21,114418.84
7361,49,2017-01-22,1.51,489345.23,125893.84,114958.9
7362,50,2017-01-15,1.44,435740.48,127670.19,118443.27
7363,51,2017-01-08,1.39,435745.77,119577.07,111625.82
7364,52,2017-01-01,1.4,321941.32,88635.94,83428.92
7365,0,2017-12-31,0.75,986474.74,268947.9,173098.72
7366,1,2017-12-24,0.75,1006477.79,327270.12,230660.26
7367,2,2017-12-17,0.7,1031887.79,298125.45,207680.54
7368,3,2017-12-10,0.64,1222641.23,280223.93,199484.52
7369,4,2017-12-03,0.72,1135877.0,230306.0,156307.0
7370,5,2017-11-26,0.77,929825.0,208688.0,133534.0
7371,6,2017-11-19,0.6,1427367.0,260494.0,117939.0
7372,7,2017-11-12,0.72,1248721.0,275520.0,166855.0
7373,8,2017-11-05,0.79,1208035.4,415160.56,330740.57
7374,9,2017-10-29,0.98,866137.35,217039.28,145789.42
7375,10,2017-10-22,1.04,809603.25,211738.95,170612.91
7376,11,2017-10-15,1.17,776108.23,218192.97,168675.02
7377,12,2017-10-08,1.28,713847.15,230735.5,183526.64
7378,13,2017-10-01,1.31,666472.86,221324.39,184421.19
7379,14,2017-09-24,1.24,685443.39,190144.1,132493.63
7380,15,2017-09-17,1.22,731289.23,200674.72,139237.45
7381,16,2017-09-10,1.2,727628.13,197207.83,141600.41
7382,17,2017-09-03,1.2,727912.24,178826.58,109254.62
7383,18,2017-08-27,1.18,715349.6,200892.45,144419.94
7384,19,2017-08-20,1.14,773947.25,229623.9,152307.86
7385,20,2017-08-13,1.01,940390.93,291586.97,178802.98
7386,21,2017-08-06,0.94,974933.36,271284.09,166106.57
7387,22,2017-07-30,0.96,930918.01,272166.36,160062.92
7388,23,2017-07-23,0.89,1072590.2,253077.35,148179.1
7389,24,2017-07-16,0.92,973521.7,250709.72,141156.76
7390,25,2017-07-09,0.75,1347858.68,534479.18,321383.07
7391,26,2017-07-02,0.77,1224659.64,472925.89,276703.9
7392,27,2017-06-25,0.77,1197422.34,448106.16,239584.34
7393,28,2017-06-18,0.7,1326697.78,425913.53,235981.26
7394,29,2017-06-11,0.68,1417604.32,429333.04,235639.45
7395,30,2017-06-04,0.76,1228049.22,459147.75,251109.66
7396,31,2017-05-28,0.81,1177093.03,417897.82,211188.34
7397,32,2017-05-21,0.74,1163735.54,369576.88,193930.12
7398,33,2017-05-14,0.69,1297119.2,430529.17,275375.52
7399,34,2017-05-07,0.65,1546765.68,433719.96,213850.65
7400,35,2017-04-30,0.75,1080538.36,349539.01,128890.58
7401,36,2017-04-23,0.7,1197854.72,392876.94,128243.06
7402,37,2017-04-16,0.73,1255293.53,420439.63,227061.64
7403,38,2017-04-09,0.65,1264239.57,317401.69,145354.75
7404,39,2017-04-02,0.67,1315020.28,411753.31,213105.17
7405,40,2017-03-26,0.57,1607936.05,393891.5,219158.02
7406,41,2017-03-19,0.68,1241284.04,418297.99,229269.89
7407,42,2017-03-12,0.65,1264592.26,354704.18,240361.27
7408,43,2017-03-05,0.67,1176932.6,388598.61,250902.57
7409,44,2017-02-26,0.65,1146225.87,283442.74,113594.12
7410,45,2017-02-19,0.67,1171871.64,272123.77,126572.67
7411,46,2017-02-12,0.54,1582877.09,388743.42,118301.86
7412,47,2017-02-05,0.46,2200550.27,450365.83,113752.17
7413,48,2017-01-29,0.58,1380520.76,317771.23,114964.92
7414,49,2017-01-22,0.54,1601222.68,379300.07,98982.8
7415,50,2017-01-15,0.6,1470187.14,404309.23,136614.13
7416,51,2017-01-08,0.73,1138871.92,332379.37,140574.68
7417,52,2017-01-01,0.63,1169638.17,268641.81,117177.54
7418,0,2017-12-31,1.01,150867.12,41445.01,28145.83
7419,1,2017-12-24,1.29,87945.29,38825.83,32590.13
7420,2,2017-12-17,1.01,141895.38,43462.78,30505.58
7421,3,2017-12-10,1.27,93436.57,38311.47,31900.28
7422,4,2017-12-03,1.18,93898.0,35165.0,27782.0
7423,5,2017-11-26,1.02,124119.0,35572.0,23424.0
7424,6,2017-11-19,1.5,89083.0,41488.0,35828.0
7425,7,2017-11-12,1.51,87818.0,41061.0,35203.0
7426,8,2017-11-05,1.54,85430.88,37502.96,32659.31
7427,9,2017-10-29,1.52,90393.33,38207.09,32383.14
7428,10,2017-10-22,1.54,99922.23,40816.38,34330.46
7429,11,2017-10-15,1.56,97962.05,40439.86,32424.63
7430,12,2017-10-08,1.6,84870.68,37482.74,29940.23
7431,13,2017-10-01,1.33,105766.89,37892.11,26558.89
7432,14,2017-09-24,1.32,102663.43,32004.72,23199.63
7433,15,2017-09-17,1.29,104613.01,35324.42,27434.82
7434,16,2017-09-10,1.31,100073.91,32111.86,23892.22
7435,17,2017-09-03,1.31,104937.39,31843.95,23478.54
7436,18,2017-08-27,1.28,106686.99,35424.08,27608.32
7437,19,2017-08-20,1.29,104117.39,35318.43,26702.83
7438,20,2017-08-13,1.27,106928.65,35000.74,26432.21
7439,21,2017-08-06,1.29,105595.21,34297.07,26823.78
7440,22,2017-07-30,1.29,104351.36,33703.24,26704.33
7441,23,2017-07-23,1.29,105012.68,35258.45,26991.6
7442,24,2017-07-16,1.26,106344.95,33887.75,25479.25
7443,25,2017-07-09,1.25,116575.48,38847.45,30093.41
7444,26,2017-07-02,1.25,124868.74,41827.48,33133.21
7445,27,2017-06-25,1.26,120211.37,41380.6,30778.72
7446,28,2017-06-18,1.29,119743.9,37856.96,27652.92
7447,29,2017-06-11,1.33,117367.43,33757.64,24054.78
7448,30,2017-06-04,1.33,123557.37,43038.43,34198.85
7449,31,2017-05-28,1.32,143674.94,52012.99,44354.41
7450,32,2017-05-21,1.02,207645.24,49694.79,34916.3
7451,33,2017-05-14,1.33,117857.6,44757.47,41341.77
7452,34,2017-05-07,1.03,214738.04,53123.79,38144.13
7453,35,2017-04-30,1.05,205559.96,46301.88,31302.01
7454,36,2017-04-23,1.34,117579.21,43466.11,35733.48
7455,37,2017-04-16,1.33,116011.18,46994.24,40217.19
7456,38,2017-04-09,1.36,119196.56,43937.37,36384.09
7457,39,2017-04-02,1.37,122944.98,43844.62,35344.15
7458,40,2017-03-26,1.34,117686.64,45873.75,38441.55
7459,41,2017-03-19,1.34,110278.1,42542.61,35408.71
7460,42,2017-03-12,1.34,108624.25,40479.58,33537.77
7461,43,2017-03-05,1.02,174567.14,44127.48,28421.5
7462,44,2017-02-26,1.33,103906.0,38063.11,31339.0
7463,45,2017-02-19,1.33,91579.18,33162.06,27745.1
7464,46,2017-02-12,1.28,100215.44,39783.18,34235.6
7465,47,2017-02-05,1.02,157981.65,39125.73,27741.95
7466,48,2017-01-29,1.26,107225.04,40835.61,35389.28
7467,49,2017-01-22,1.04,159303.6,41744.33,30703.03
7468,50,2017-01-15,1.08,168143.15,42252.56,29876.42
7469,51,2017-01-08,1.02,152780.85,37524.26,27826.18
7470,52,2017-01-01,1.02,141043.91,37562.67,28298.47
7471,0,2017-12-31,1.02,2173591.74,515208.08,417190.3
7472,1,2017-12-24,1.26,1576731.65,466146.36,357357.71
7473,2,2017-12-17,1.05,1829991.74,476580.03,364590.57
7474,3,2017-12-10,1.15,1606464.12,547898.32,413856.9
7475,4,2017-12-03,1.19,1630974.0,474976.0,345924.0
7476,5,2017-11-26,1.28,1280491.0,336422.0,225355.0
7477,6,2017-11-19,1.12,1729745.0,446016.0,341806.0
7478,7,2017-11-12,1.26,1625590.0,511771.0,398551.0
7479,8,2017-11-05,1.48,1380036.54,381761.77,292776.18
7480,9,2017-10-29,1.38,1536445.96,416809.82,339758.82
7481,10,2017-10-22,1.48,1455487.08,412804.6,343995.88
7482,11,2017-10-15,1.77,1232522.78,337910.44,260794.05
7483,12,2017-10-08,1.81,1248620.9,385366.17,285269.57
7484,13,2017-10-01,1.77,1309590.39,424991.76,323068.99
7485,14,2017-09-24,1.75,1384407.83,452107.21,379266.75
7486,15,2017-09-17,1.66,1369417.02,420101.85,365945.02
7487,16,2017-09-10,1.6,1534772.16,482169.29,440426.06
7488,17,2017-09-03,1.58,1531392.1,485648.58,423640.15
7489,18,2017-08-27,1.37,1822828.12,458454.4,403908.27
7490,19,2017-08-20,1.53,1548298.16,456630.75,417905.99
7491,20,2017-08-13,1.43,1739844.71,474493.7,424441.48
7492,21,2017-08-06,1.43,1762012.56,498426.68,440097.5
7493,22,2017-07-30,1.46,1718325.16,479947.75,430060.41
7494,23,2017-07-23,1.39,1854451.3,528322.63,466178.48
7495,24,2017-07-16,1.38,1843260.04,557153.6,485370.12
7496,25,2017-07-09,1.32,2106705.01,721146.31,710273.4
7497,26,2017-07-02,1.31,2223310.81,729029.47,707685.17
7498,27,2017-06-25,1.35,2035318.57,671480.15,633187.99
7499,28,2017-06-18,1.35,1993421.09,708966.7,653169.34
7500,29,2017-06-11,1.31,2120488.01,685138.14,642268.81
7501,30,2017-06-04,1.31,2136102.71,667444.99,620312.74
7502,31,2017-05-28,1.38,1975524.7,631867.51,584294.01
7503,32,2017-05-21,1.33,1840889.79,580451.89,534882.58
7504,33,2017-05-14,1.33,1894833.35,597435.97,535679.03
7505,34,2017-05-07,1.13,2617237.35,657742.83,570356.24
7506,35,2017-04-30,1.19,2080438.13,564515.24,516294.46
7507,36,2017-04-23,1.18,2143445.39,617752.21,606147.7
7508,37,2017-04-16,1.35,1808002.16,526077.06,500350.57
7509,38,2017-04-09,1.28,1868022.01,472047.53,450706.0
7510,39,2017-04-02,1.29,1818148.12,429421.7,409630.98
7511,40,2017-03-26,1.33,1704624.12,456571.72,432296.32
7512,41,2017-03-19,1.3,1679882.22,460488.81,437779.63
7513,42,2017-03-12,1.29,1602700.69,410808.52,399428.36
7514,43,2017-03-05,1.25,1601599.81,435845.24,393722.61
7515,44,2017-02-26,1.05,2008263.47,526369.11,462233.19
7516,45,2017-02-19,0.96,2087617.13,586670.84,537145.2
7517,46,2017-02-12,0.94,2097983.48,541875.2,466641.32
7518,47,2017-02-05,0.76,3575499.21,609037.63,579814.97
7519,48,2017-01-29,1.06,2057899.39,585212.29,503163.84
7520,49,2017-01-22,1.09,1812652.88,513455.77,463066.89
7521,50,2017-01-15,1.05,2064194.02,602928.33,545116.32
7522,51,2017-01-08,1.06,1890389.78,489853.49,450604.75
7523,52,2017-01-01,0.83,2382742.62,405848.3,387097.97
7524,0,2017-12-31,0.89,614950.95,255129.46,204432.64
7525,1,2017-12-24,1.33,407742.01,189979.61,128039.05
7526,2,2017-12-17,1.31,430915.0,186510.02,133500.93
7527,3,2017-12-10,1.29,424741.73,204767.87,147247.2
7528,4,2017-12-03,0.88,777430.0,335821.0,295944.0
7529,5,2017-11-26,1.48,336192.0,154751.0,105787.0
7530,6,2017-11-19,1.53,350149.0,158491.0,84675.0
7531,7,2017-11-12,1.11,593320.0,286211.0,231215.0
7532,8,2017-11-05,1.03,681564.98,289977.41,246798.74
7533,9,2017-10-29,1.29,520629.7,223927.25,175517.41
7534,10,2017-10-22,1.36,511400.66,230655.97,189637.21
7535,11,2017-10-15,1.25,546932.09,144902.68,91834.79
7536,12,2017-10-08,1.9,363427.67,144079.34,87516.85
7537,13,2017-10-01,1.84,362296.15,146034.98,92339.3
7538,14,2017-09-24,1.82,354180.85,151713.69,93608.45
7539,15,2017-09-17,1.83,378220.95,161992.34,91160.7
7540,16,2017-09-10,1.87,384536.99,158604.85,85879.75
7541,17,2017-09-03,1.76,415130.61,168516.38,106243.97
7542,18,2017-08-27,1.34,597580.17,319197.98,266476.63
7543,19,2017-08-20,1.32,671617.66,332779.14,276359.88
7544,20,2017-08-13,1.71,432923.79,194772.49,113265.06
7545,21,2017-08-06,1.58,540879.33,252156.36,162070.46
7546,22,2017-07-30,1.34,575652.16,204336.04,116878.48
7547,23,2017-07-23,1.15,606128.4,187177.72,99301.68
7548,24,2017-07-16,1.38,530468.65,200607.82,108090.39
7549,25,2017-07-09,0.7,1136070.26,661498.41,656040.89
7550,26,2017-07-02,0.99,767074.64,419977.74,417909.15
7551,27,2017-06-25,0.96,803349.86,451960.99,450916.88
7552,28,2017-06-18,0.97,755535.79,422518.77,422053.82
7553,29,2017-06-11,1.0,718937.65,403160.16,401672.14
7554,30,2017-06-04,1.12,698957.23,425984.16,423593.25
7555,31,2017-05-28,0.97,820850.36,440735.34,438469.98
7556,32,2017-05-21,1.01,750346.5,379056.73,378471.34
7557,33,2017-05-14,0.95,765147.43,427452.46,412487.49
7558,34,2017-05-07,0.91,933826.15,429319.87,370157.41
7559,35,2017-04-30,0.84,940104.32,523591.09,521942.84
7560,36,2017-04-23,0.91,756075.76,371558.54,370457.47
7561,37,2017-04-16,0.98,743878.59,404992.95,403966.15
7562,38,2017-04-09,1.08,713478.54,389459.73,385964.86
7563,39,2017-04-02,1.12,672306.68,361394.75,359313.65
7564,40,2017-03-26,1.12,629914.06,342737.15,338024.62
7565,41,2017-03-19,1.11,634212.88,336553.15,334445.43
7566,42,2017-03-12,0.84,922940.33,572578.25,536468.52
7567,43,2017-03-05,0.89,770551.84,450458.59,272980.83
7568,44,2017-02-26,0.7,877633.92,572607.64,352429.69
7569,45,2017-02-19,0.76,869425.93,524637.27,354510.94
7570,46,2017-02-12,0.77,724514.73,436350.54,397601.08
7571,47,2017-02-05,0.68,1189151.17,737683.65,678871.57
7572,48,2017-01-29,0.76,909463.13,563713.13,423872.42
7573,49,2017-01-22,0.87,711564.14,393543.44,331105.98
7574,50,2017-01-15,0.85,758125.51,443550.56,415774.16
7575,51,2017-01-08,0.85,877646.01,470368.5,423677.63
7576,52,2017-01-01,0.73,869835.55,486819.55,468972.79
7577,0,2017-12-31,0.92,419590.58,188302.43,178330.99
7578,1,2017-12-24,1.27,248315.51,95507.15,92648.3
7579,2,2017-12-17,1.24,253164.73,99975.18,97660.72
7580,3,2017-12-10,1.03,356980.37,184873.58,180009.62
7581,4,2017-12-03,1.18,307299.0,92471.0,89249.0
7582,5,2017-11-26,1.36,225495.0,84452.0,82420.0
7583,6,2017-11-19,1.36,247612.0,91940.0,89013.0
7584,7,2017-11-12,1.4,254131.0,91011.0,88458.0
7585,8,2017-11-05,1.39,271264.81,96517.96,94086.43
7586,9,2017-10-29,1.48,251521.91,88885.52,85668.09
7587,10,2017-10-22,1.63,229001.29,74153.79,71573.43
7588,11,2017-10-15,1.63,243992.86,77171.01,71183.69
7589,12,2017-10-08,1.7,243412.06,77408.72,73770.6
7590,13,2017-10-01,1.63,249920.93,80679.09,76700.96
7591,14,2017-09-24,1.54,273060.96,86817.71,82873.27
7592,15,2017-09-17,1.47,274560.95,93775.17,91738.58
7593,16,2017-09-10,1.57,250327.75,88212.17,85481.76
7594,17,2017-09-03,1.54,263532.84,98053.67,91379.99
7595,18,2017-08-27,1.47,293278.78,104767.4,100986.72
7596,19,2017-08-20,1.42,297724.56,108206.39,100691.38
7597,20,2017-08-13,1.39,275406.02,103643.87,95749.54
7598,21,2017-08-06,1.29,288674.63,100317.94,95244.27
7599,22,2017-07-30,1.31,289052.93,98327.18,93129.14
7600,23,2017-07-23,1.31,286761.46,112556.58,106561.61
7601,24,2017-07-16,1.3,270590.36,114662.4,109084.83
7602,25,2017-07-09,1.25,309542.11,120250.53,113413.21
7603,26,2017-07-02,1.22,314536.29,119632.72,112838.17
7604,27,2017-06-25,1.24,297426.95,110646.23,105884.61
7605,28,2017-06-18,1.34,263858.47,98468.65,93661.14
7606,29,2017-06-11,1.3,302596.77,107071.19,101531.91
7607,30,2017-06-04,1.43,303913.24,101238.11,95259.58
7608,31,2017-05-28,1.41,318497.15,113030.98,109210.63
7609,32,2017-05-21,1.39,312273.14,107573.08,104411.01
7610,33,2017-05-14,1.33,311498.75,121072.14,119259.88
7611,34,2017-05-07,1.33,375498.03,138010.55,134892.78
7612,35,2017-04-30,1.44,309256.66,106482.26,102811.33
7613,36,2017-04-23,1.4,305014.56,118014.62,116286.32
7614,37,2017-04-16,1.44,288117.21,101457.19,100591.02
7615,38,2017-04-09,1.45,268332.13,91557.04,90352.2
7616,39,2017-04-02,1.39,309926.42,112990.11,111590.71
7617,40,2017-03-26,1.41,296660.74,96621.78,95202.32
7618,41,2017-03-19,1.39,280949.58,90466.21,89175.8
7619,42,2017-03-12,1.42,281539.78,84542.89,83251.21
7620,43,2017-03-05,1.32,282098.34,92133.59,90822.06
7621,44,2017-02-26,1.21,329592.25,88272.17,86960.95
7622,45,2017-02-19,1.27,286847.49,91064.71,90004.05
7623,46,2017-02-12,1.18,292605.18,94428.4,92787.13
7624,47,2017-02-05,0.97,455798.5,79421.44,76260.19
7625,48,2017-01-29,1.26,296249.39,84049.95,81864.06
7626,49,2017-01-22,1.14,326997.65,84545.16,80560.91
7627,50,2017-01-15,1.27,277248.48,83025.59,80590.42
7628,51,2017-01-08,1.22,305194.22,97786.11,95734.55
7629,52,2017-01-01,1.18,283434.01,69190.43,66525.85
7630,0,2017-12-31,0.83,315463.87,109332.7,97601.86
7631,1,2017-12-24,1.19,206250.4,84668.37,75698.7
7632,2,2017-12-17,1.13,199747.25,82401.15,77442.99
7633,3,2017-12-10,1.04,253167.21,109630.08,103972.45
7634,4,2017-12-03,1.02,261784.0,76288.0,71392.0
7635,5,2017-11-26,1.24,163351.0,54964.0,51601.0
7636,6,2017-11-19,1.23,187293.0,67821.0,64562.0
7637,7,2017-11-12,1.26,200521.0,71479.0,69009.0
7638,8,2017-11-05,1.15,250600.37,90766.38,87156.99
7639,9,2017-10-29,1.33,217679.03,81119.27,78089.52
7640,10,2017-10-22,1.39,206044.77,73824.96,70959.97
7641,11,2017-10-15,1.46,211342.84,73875.69,67819.41
7642,12,2017-10-08,1.62,159117.57,64244.04,60012.28
7643,13,2017-10-01,1.54,205642.56,73892.82,68462.46
7644,14,2017-09-24,1.47,206719.88,78541.82,75856.02
7645,15,2017-09-17,1.44,200632.61,72964.77,70410.57
7646,16,2017-09-10,1.47,192455.24,80012.55,74003.77
7647,17,2017-09-03,1.44,208006.98,76768.16,73080.19
7648,18,2017-08-27,1.38,215394.7,90453.35,86399.49
7649,19,2017-08-20,1.33,224102.83,94561.53,84245.95
7650,20,2017-08-13,1.35,214146.34,75096.98,67332.72
7651,21,2017-08-06,1.26,234101.85,81210.33,74984.01
7652,22,2017-07-30,1.26,229911.14,81074.29,74994.56
7653,23,2017-07-23,1.13,266821.34,85275.47,80562.61
7654,24,2017-07-16,1.17,267806.51,97087.55,90560.26
7655,25,2017-07-09,1.19,257780.31,99081.02,89396.86
7656,26,2017-07-02,1.21,257162.16,99568.74,90410.02
7657,27,2017-06-25,1.21,251831.45,82019.02,71831.35
7658,28,2017-06-18,1.28,245564.59,82080.78,75119.47
7659,29,2017-06-11,1.31,248634.5,81260.51,74457.92
7660,30,2017-06-04,1.38,261051.5,81337.6,77842.84
7661,31,2017-05-28,1.25,288112.58,94943.32,88523.34
7662,32,2017-05-21,1.17,271051.35,87023.51,82632.8
7663,33,2017-05-14,1.13,257009.92,109455.69,105063.78
7664,34,2017-05-07,1.12,365531.86,139779.91,135956.54
7665,35,2017-04-30,1.18,285128.95,105947.27,102188.75
7666,36,2017-04-23,1.25,262771.53,104075.57,103485.2
7667,37,2017-04-16,1.28,251124.14,94276.08,93488.63
7668,38,2017-04-09,1.22,260512.01,86448.36,85939.37
7669,39,2017-04-02,1.19,288015.28,130322.62,130221.54
7670,40,2017-03-26,1.26,258325.55,86432.41,85387.4
7671,41,2017-03-19,1.29,250471.76,79358.26,77669.45
7672,42,2017-03-12,1.35,254377.74,80664.78,78718.53
7673,43,2017-03-05,1.31,230403.88,76137.72,74615.52
7674,44,2017-02-26,1.13,281322.06,66660.91,65695.54
7675,45,2017-02-19,1.18,241012.17,79262.88,78087.14
7676,46,2017-02-12,1.13,255531.24,67181.16,66109.53
7677,47,2017-02-05,1.0,379603.83,77906.2,76374.99
7678,48,2017-01-29,1.18,259671.38,63847.65,62577.62
7679,49,2017-01-22,1.13,286641.35,77468.83,75851.48
7680,50,2017-01-15,1.15,261313.02,71189.21,69981.57
7681,51,2017-01-08,1.18,275129.35,74144.39,73168.4
7682,52,2017-01-01,1.11,240752.75,67244.68,65961.19
7683,0,2017-12-31,0.81,194627.58,86184.23,64304.28
7684,1,2017-12-24,1.09,137679.86,69756.96,58617.25
7685,2,2017-12-17,1.08,124002.08,62652.66,56079.52
7686,3,2017-12-10,1.05,137960.99,63035.35,57738.32
7687,4,2017-12-03,0.99,166540.0,62801.0,57210.0
7688,5,2017-11-26,1.16,92146.0,36675.0,32592.0
7689,6,2017-11-19,1.09,112603.0,50346.0,46213.0
7690,7,2017-11-12,1.19,126496.0,51207.0,46960.0
7691,8,2017-11-05,1.08,176421.06,76489.99,69792.75
7692,9,2017-10-29,1.3,143342.57,71877.04,69621.41
7693,10,2017-10-22,1.42,115432.53,53481.15,50154.17
7694,11,2017-10-15,1.49,114826.68,49765.22,44950.05
7695,12,2017-10-08,1.66,87278.58,44813.14,38450.63
7696,13,2017-10-01,1.59,112518.2,52178.69,45303.82
7697,14,2017-09-24,1.51,118080.88,53398.4,49231.32
7698,15,2017-09-17,1.5,113231.66,51153.14,47157.59
7699,16,2017-09-10,1.53,110081.14,55282.5,48825.07
7700,17,2017-09-03,1.45,115506.15,50368.83,43969.06
7701,18,2017-08-27,1.43,126646.81,61034.08,54510.23
7702,19,2017-08-20,1.41,123267.26,59989.82,52792.92
7703,20,2017-08-13,1.38,109713.0,43060.56,36751.94
7704,21,2017-08-06,1.29,124119.9,53174.49,48158.96
7705,22,2017-07-30,1.29,123476.6,56638.09,49647.52
7706,23,2017-07-23,1.17,141148.36,63918.84,58375.34
7707,24,2017-07-16,1.16,159919.52,76507.36,67961.07
7708,25,2017-07-09,1.11,157797.53,84417.07,78578.39
7709,26,2017-07-02,1.13,156098.42,82941.81,75455.52
7710,27,2017-06-25,1.15,146132.45,70643.13,58834.48
7711,28,2017-06-18,1.16,152802.24,74741.05,69630.36
7712,29,2017-06-11,1.16,155040.89,73698.52,70183.05
7713,30,2017-06-04,1.23,151097.89,63457.85,58885.96
7714,31,2017-05-28,1.15,165711.15,76497.84,62798.96
7715,32,2017-05-21,1.01,172518.2,87998.6,78050.29
7716,33,2017-05-14,0.99,164928.9,91443.27,83409.79
7717,34,2017-05-07,1.02,221289.76,109562.45,106593.49
7718,35,2017-04-30,1.22,162420.79,86047.19,80694.54
7719,36,2017-04-23,1.24,146324.59,76997.12,73624.88
7720,37,2017-04-16,1.2,158523.99,87098.92,85993.01
7721,38,2017-04-09,1.26,145899.12,66440.02,65146.93
7722,39,2017-04-02,1.15,169374.96,85704.62,84689.06
7723,40,2017-03-26,1.21,146817.49,70090.73,69195.18
7724,41,2017-03-19,1.23,141618.19,60496.21,59561.05
7725,42,2017-03-12,1.26,143644.79,61525.11,59939.46
7726,43,2017-03-05,1.15,149237.92,68423.59,67685.81
7727,44,2017-02-26,1.13,153568.21,57403.81,56665.14
7728,45,2017-02-19,1.12,141558.76,65151.03,64383.7
7729,46,2017-02-12,1.03,159133.19,60808.53,59563.4
7730,47,2017-02-05,0.97,212143.72,60875.36,59129.65
7731,48,2017-01-29,1.13,143828.34,55149.45,53902.27
7732,49,2017-01-22,1.04,163498.85,67648.3,66764.36
7733,50,2017-01-15,1.06,158063.43,63824.21,63041.06
7734,51,2017-01-08,1.13,146072.21,53438.34,52587.23
7735,52,2017-01-01,0.97,142347.9,55950.74,55319.62
7736,0,2017-12-31,1.03,578374.5,50427.3,46215.9
7737,1,2017-12-24,1.14,469533.33,52637.92,46568.56
7738,2,2017-12-17,1.2,404548.13,55460.24,49298.88
7739,3,2017-12-10,1.07,474539.47,50265.9,45079.72
7740,4,2017-12-03,1.17,427791.0,56630.0,52589.0
7741,5,2017-11-26,1.45,304942.0,51206.0,44903.0
7742,6,2017-11-19,1.45,331472.0,49184.0,43875.0
7743,7,2017-11-12,1.23,442150.0,52808.0,48720.0
7744,8,2017-11-05,1.36,407622.18,43077.08,38736.42
7745,9,2017-10-29,1.45,374807.93,43245.97,42643.71
